"Running",1,0,0,0,0
"Swimming",1,0,0,0,0
"Bench Press",0,0,0,1,1
"Squats (Dumbell)",0,0,0,1,1
"Pulldown",0,0,0,1,1
"Lunge(Dumbell)",0,0,0,1,1
"Standing Bicep Curls",0,0,0,1,1
"Leg Curl (Machine)",0,0,0,1,1
